# l, t, x, y
0 3.9563 0.1232 0.4825
0 3.9804 0.1232 0.4902
0 3.9822 0.1232 0.4933
0 4.0049 0.1232 0.4994
0 4.0072 0.1232 0.5025
0 4.0301 0.1232 0.5070
0 4.0325 0.1232 0.5101
0 4.0550 0.1232 0.5147
0 4.0571 0.1232 0.5178
0 4.0801 0.1232 0.5239
0 4.0822 0.1232 0.5270
0 4.1056 0.1232 0.5346
0 4.1069 0.1232 0.5377
0 4.1302 0.1232 0.5438
0 4.1321 0.1232 0.5469
0 4.1553 0.1232 0.5515
0 4.1572 0.1232 0.5530
0 4.1801 0.1216 0.5576
0 4.1823 0.1216 0.5591
0 4.2059 0.1216 0.5637
0 4.2072 0.1216 0.5668
0 4.2311 0.1201 0.5714
0 4.2325 0.1201 0.5729
0 4.2552 0.1186 0.5775
0 4.2574 0.1186 0.5806
0 4.2811 0.1186 0.5852
0 4.2824 0.1186 0.5867
0 4.3056 0.1170 0.5928
0 4.3069 0.1170 0.5959
0 4.3311 0.1170 0.6020
0 4.3325 0.1170 0.6051
0 4.3551 0.1155 0.6112
0 4.3574 0.1155 0.6143
0 4.3800 0.1155 0.6204
0 4.3823 0.1155 0.6219
0 4.4051 0.1155 0.6281
0 4.4077 0.1155 0.6296
0 4.4300 0.1140 0.6373
0 4.4327 0.1140 0.6388
0 4.4551 0.1140 0.6434
0 4.4569 0.1140 0.6449
0 4.4801 0.1140 0.6495
0 4.4821 0.1140 0.6510
0 4.5049 0.1140 0.6556
0 4.5072 0.1140 0.6587
0 4.5301 0.1140 0.6618
0 4.5321 0.1140 0.6648
0 4.5546 0.1140 0.6694
0 4.5734 0.1140 0.6725
0 4.5747 0.1140 0.6740
0 4.5976 0.1140 0.6756
0 4.5989 0.1140 0.6756
0 4.6242 0.1140 0.6756
0 4.6586 0.1140 0.6771
0 4.6769 0.1140 0.6771
0 4.8278 0.1140 0.6771
0 4.8535 0.1170 0.6756
0 4.8735 0.1186 0.6756
0 4.8750 0.1186 0.6756
0 4.8968 0.1216 0.6740
0 4.8992 0.1232 0.6740
0 4.9219 0.1262 0.6740
0 4.9242 0.1278 0.6740
0 4.9467 0.1354 0.6740
0 4.9493 0.1369 0.6740
0 4.9720 0.1431 0.6740
0 4.9742 0.1461 0.6740
0 4.9967 0.1538 0.6740
0 4.9991 0.1584 0.6740
0 5.0218 0.1645 0.6740
0 5.0245 0.1676 0.6740
0 5.0480 0.1722 0.6740
0 5.0496 0.1752 0.6740
0 5.0731 0.1783 0.6740
0 5.0746 0.1814 0.6740
0 5.0981 0.1844 0.6740
0 5.0996 0.1860 0.6740
0 5.1226 0.1906 0.6756
0 5.1239 0.1921 0.6756
0 5.1469 0.1967 0.6756
0 5.1489 0.1982 0.6756
0 5.1719 0.2028 0.6771
0 5.1739 0.2044 0.6771
0 5.1967 0.2089 0.6786
0 5.1986 0.2120 0.6786
0 5.2218 0.2166 0.6801
0 5.2239 0.2197 0.6801
0 5.2462 0.2258 0.6817
0 5.2642 0.2304 0.6832
0 5.2657 0.2335 0.6832
0 5.2884 0.2411 0.6832
0 5.2906 0.2457 0.6847
0 5.3135 0.2488 0.6863
0 5.3154 0.2518 0.6863
0 5.3386 0.2580 0.6878
0 5.3403 0.2610 0.6878
0 5.3635 0.2656 0.6893
0 5.3653 0.2672 0.6909
0 5.3885 0.2733 0.6924
0 5.3905 0.2748 0.6924
0 5.4134 0.2794 0.6939
0 5.4157 0.2825 0.6955
0 5.4383 0.2871 0.6955
0 5.4405 0.2886 0.6970
0 5.4633 0.2932 0.6970
0 5.4656 0.2963 0.6970
0 5.4879 0.3009 0.6985
0 5.5060 0.3055 0.6985
0 5.5074 0.3085 0.6985
0 5.5301 0.3146 0.6985
0 5.5322 0.3162 0.6985
0 5.5552 0.3208 0.6985
0 5.5580 0.3238 0.6985
0 5.5800 0.3284 0.6985
0 5.5819 0.3300 0.6985
0 5.6050 0.3330 0.6985
0 5.6076 0.3346 0.6985
0 5.6299 0.3392 0.6985
0 5.6322 0.3407 0.6985
0 5.6551 0.3422 0.6985
0 5.6571 0.3438 0.6985
0 5.6802 0.3468 0.6985
0 5.6824 0.3468 0.6985
0 5.7054 0.3499 0.6985
0 5.7070 0.3529 0.6985
0 5.7304 0.3545 0.6985
0 5.7320 0.3560 0.6985
0 5.7550 0.3591 0.6985
0 5.7572 0.3606 0.6985
0 5.7804 0.3637 0.6985
0 5.7830 0.3652 0.6985
0 5.8051 0.3683 0.6985
0 5.8073 0.3683 0.6985
0 5.8298 0.3729 0.6985
0 5.8322 0.3729 0.6985
0 5.8552 0.3759 0.6985
0 5.8572 0.3775 0.6985
0 5.8801 0.3805 0.6985
0 5.8822 0.3820 0.6985
0 5.9056 0.3836 0.6985
0 5.9073 0.3836 0.6985
0 5.9299 0.3836 0.6985
0 5.9320 0.3851 0.6985
