# l, t, x, y
0 6.3398 0.4786 0.4580
0 6.3635 0.4770 0.4626
0 6.3815 0.4755 0.4672
0 6.3829 0.4755 0.4703
0 6.4050 0.4740 0.4749
0 6.4065 0.4740 0.4764
0 6.4304 0.4724 0.4810
0 6.4485 0.4709 0.4871
0 6.4500 0.4709 0.4902
0 6.4711 0.4694 0.4948
0 6.4892 0.4678 0.4994
0 6.4906 0.4678 0.5009
0 6.5137 0.4663 0.5055
0 6.5321 0.4663 0.5101
0 6.5335 0.4663 0.5132
0 6.5550 0.4648 0.5162
0 6.5565 0.4648 0.5193
0 6.5803 0.4632 0.5239
0 6.5987 0.4632 0.5285
0 6.6001 0.4617 0.5316
0 6.6215 0.4617 0.5362
0 6.6231 0.4617 0.5392
0 6.6468 0.4602 0.5438
0 6.6655 0.4586 0.5499
0 6.6668 0.4586 0.5515
0 6.6881 0.4571 0.5576
0 6.6900 0.4571 0.5607
0 6.7136 0.4556 0.5653
0 6.7322 0.4540 0.5699
0 6.7335 0.4525 0.5729
0 6.7548 0.4510 0.5775
0 6.7570 0.4510 0.5806
0 6.7800 0.4494 0.5852
0 6.7986 0.4464 0.5913
0 6.8000 0.4449 0.5974
0 6.8214 0.4433 0.6036
0 6.8394 0.4418 0.6097
0 6.8411 0.4403 0.6127
0 6.8639 0.4372 0.6219
0 6.8820 0.4357 0.6281
0 6.8834 0.4341 0.6327
0 6.9058 0.4311 0.6419
0 6.9074 0.4295 0.6449
0 6.9320 0.4265 0.6510
0 6.9334 0.4249 0.6541
0 6.9557 0.4219 0.6602
0 6.9573 0.4219 0.6633
0 6.9801 0.4188 0.6694
0 6.9980 0.4173 0.6756
0 6.9995 0.4157 0.6786
0 7.0223 0.4142 0.6847
0 7.0238 0.4127 0.6878
0 7.0467 0.4112 0.6924
0 7.0651 0.4081 0.6985
0 7.0664 0.4081 0.7016
0 7.0882 0.4050 0.7062
0 7.0901 0.4050 0.7093
0 7.1136 0.4035 0.7138
0 7.1318 0.4020 0.7184
0 7.1333 0.4020 0.7215
0 7.1549 0.4004 0.7246
0 7.1568 0.4004 0.7276
0 7.1803 0.3989 0.7292
0 7.1990 0.3989 0.7338
0 7.2217 0.3989 0.7353
0 7.2235 0.3989 0.7368
0 7.2472 0.3974 0.7399
0 7.2652 0.3974 0.7430
0 7.2666 0.3958 0.7430
0 7.2883 0.3958 0.7460
0 7.2900 0.3958 0.7475
0 7.3136 0.3958 0.7491
0 7.3318 0.3958 0.7521
0 7.3551 0.3943 0.7537
0 7.3567 0.3943 0.7552
0 7.3802 0.3943 0.7567
0 7.3984 0.3943 0.7598
0 7.3998 0.3928 0.7598
0 7.4214 0.3928 0.7613
0 7.4394 0.3928 0.7613
0 7.4408 0.3928 0.7613
0 7.4634 0.3928 0.7613
