# l, t, x, y
0 4.2599 0.3560 0.4672
0 4.2611 0.3575 0.4626
0 4.2851 0.3606 0.4534
0 4.2862 0.3621 0.4488
0 4.3101 0.3652 0.4381
0 4.3114 0.3683 0.4320
0 4.3352 0.3698 0.4274
0 4.3364 0.3713 0.4243
0 4.3602 0.3729 0.4182
0 4.3614 0.3744 0.4167
0 4.3846 0.3775 0.4136
0 4.4021 0.3775 0.4105
0 4.4033 0.3775 0.4105
0 4.4262 0.3790 0.4090
0 4.4438 0.3790 0.4075
0 4.4450 0.3790 0.4075
0 4.4684 0.3790 0.4075
0 4.4951 0.3790 0.4075
0 4.5368 0.3805 0.4075
0 4.5556 0.3805 0.4059
0 4.6968 0.3805 0.4075
0 4.7236 0.3805 0.4105
0 4.7454 0.3805 0.4151
0 4.7691 0.3805 0.4167
0 4.7704 0.3805 0.4182
0 4.7934 0.3820 0.4213
0 4.7946 0.3820 0.4228
0 4.8183 0.3820 0.4274
0 4.8195 0.3820 0.4305
0 4.8433 0.3836 0.4366
0 4.8445 0.3851 0.4396
0 4.8685 0.3866 0.4473
0 4.8697 0.3882 0.4519
0 4.8934 0.3928 0.4626
0 4.8946 0.3943 0.4657
0 4.9184 0.3974 0.4749
0 4.9196 0.3989 0.4779
0 4.9434 0.4020 0.4856
0 4.9447 0.4035 0.4902
0 4.9683 0.4050 0.4979
0 4.9696 0.4066 0.5025
0 4.9926 0.4081 0.5101
0 5.0101 0.4112 0.5208
0 5.0114 0.4112 0.5239
0 5.0352 0.4142 0.5316
0 5.0365 0.4157 0.5362
0 5.0601 0.4188 0.5438
0 5.0614 0.4188 0.5484
0 5.0849 0.4219 0.5561
0 5.0862 0.4219 0.5591
0 5.1100 0.4249 0.5668
0 5.1112 0.4249 0.5714
0 5.1344 0.4280 0.5790
0 5.1519 0.4295 0.5867
0 5.1531 0.4311 0.5898
0 5.1769 0.4341 0.5974
0 5.1782 0.4357 0.6020
0 5.2013 0.4372 0.6081
0 5.2189 0.4403 0.6127
0 5.2201 0.4418 0.6173
0 5.2434 0.4449 0.6235
0 5.2446 0.4464 0.6281
0 5.2685 0.4479 0.6327
0 5.2697 0.4494 0.6357
0 5.2933 0.4510 0.6419
0 5.2946 0.4525 0.6449
0 5.3185 0.4540 0.6495
0 5.3197 0.4540 0.6526
0 5.3433 0.4571 0.6556
0 5.3445 0.4571 0.6572
0 5.3682 0.4586 0.6602
0 5.3695 0.4586 0.6602
0 5.3933 0.4602 0.6602
